Company,URL,Company Description,All Investors,Total Funding,Sector,Industry,Sub-Industry,Country,State,City,Phone,Email,VC Backed,Exit Round,Exit Date,Last Funding Round,Last Funding Date,Last Funding Amount,Last Funding Simplified Round,Last Funding Investors,Min Valuation,Max Valuation,Min Price/Sales Ratio,Max Price/Sales Ratio,Continent,Private Collections,Expert Collections,Twitter Score,# Twitter Followers,Twitter Engagement,Followers to Following,Twitter Followers Growth,Twitter Mentions Growth,Twitter Handle
Quantum Corp.,http://www.quantum.com,"Quantum is a leading expert in scale-out storage, archive and data protection, providing solutions for capturing, sharing and preserving digital assets over the entire data lifecycle. From small businesses to major enterprises, more than 100,000 customers have trusted Quantum to address their most demanding data workflow challenges. With Quantum, customers can Be Certain™ they have the end-to-end storage foundation to maximize the value of their data by making it accessible whenever and wherever needed, retaining it indefinitely and reducing total cost and complexity.",Kleiner Perkins Caufield & Byers;Mayfield Fund;Public,,Computer Hardware & Services,Computer Storage & Peripherals,,United States,California,San Jose,408-944-4000,,Yes,,,Unattributed VC,,,Venture Capital,Kleiner Perkins Caufield & Byers;Mayfield Fund,,,,,North America,,Smart Money VCs,,14,0,14,0.00%,,@QandU
QuickLogic,http://www.quicklogic.com,"QuickLogic created the Embedded Standard Products (ESPs), a  class of semiconductor devices that provide significant time and cost savings and increased performance and flexibility to the engineers who design many of today's advanced electronics systems.",Morgenthaler Ventures;Public;Undisclosed Venture Investors;Vertex Ventures SE Asia,27.57,Electronics,Electronic Components,,United States,California,Sunnyvale,408-990-4000,info@quicklogic.com,Yes,IPO,1999/10/11,Series D,1996/10/01,11,Series D,Undisclosed Venture Investors,176.42,176.42,,,North America,,CES 2016;CES 2017 Exhibitors;CES 2018 Exhibitors,,271,1,6.3,-60.00%,0.00%,@QuickLogic_Corp
Quinstreet,http://www.quinstreet.com,"QuinStreet is a provider of Internet technology and marketing services to direct selling, network marketing, franchise and direct marketing companies. The company's primary capabilities include building and running one of the world's largest targeted marketing networks, being the industry-leader in online merchandising and marketing for specialty consumer products, and operating the most complete and integrated product suite and technology platform for direct marketing and direct selling online.",Focus Ventures;GGV Capital;Glynn Capital Management;J & W Seligman;L Catterton;Partech Partners;Public;Rosewood Capital;St. Paul Venture Capital;Sutter Hill Ventures;VSP Capital,49,Internet,Internet Software & Services,"Advertising, Sales & Marketing",United States,California,Foster City,650-578-7700,privacy@QuinStreet.com,Yes,IPO,2010/02/22,Unattributed VC,2007/03/02,,Venture Capital,GGV Capital,673.7,673.7,2.581226054,2.581226054,North America,,ad tech;Fin tech ( Fintech );InsurTech,,1040,0,1.46,0.00%,,@QuinStreet
RTI Surgical,http://www.rtix.com,"RTI Surgical is a global surgical implant company providing surgeons with safe biologic, metal and synthetic implants.",Adler & Co.;AWM Investment Company;Downsview Capital;Federated Equity Funds - Federated Kaufmann Fund;Federated Investors;Highbridge Capital Management;Highline Capital Management;Medtronic;Pequot Capital Mangement;Presidio Geary Management;Public;Siparex;Tenaya Capital;University of Florida Tissue Bank;Welch Capital Partners;Zweig-DiMenna Associates,10,Healthcare,Medical Devices & Equipment,Surgical Devices,United States,Florida,Alachua,386-418-8888,,Yes,IPO,2000/08/11,Series B,1999/10/18,10,Series B,Medtronic;Tenaya Capital;Adler & Co.,298.32,298.32,,,North America,,Medical Devices,,,,,,,
Ra Pharmaceuticals,http://www.rapharma.com,"Ra Pharma combines novel insights into innate immunity with leadership in macrocycle technology to transform the lives of patients with life-threatening disorders. The company's proprietary peptide chemistry platform delivers drugs with the diversity and specificity of antibodies, coupled with the pharmacological properties of small molecules. Its primary clinical focus is on diseases of complement dysregulation and orphan indications defined by validated biomarkers. Ra Pharma's Extreme Diversity platform generates highly specific and stable peptide-like molecules with the potential for greatly increased bioavailability, improved cell permeability, and the opportunity to address protein-protein interactions and other previously undruggable targets. The platform combines in vitro display technology, a completely defined translation system and a wide variety of non-natural amino acids to produce novel drug-like peptides. Unlike certain other display technologies, in vitro display does not require the use of a bacterial or yeast host, and it can produce libraries of 10 to 100 trillion members, allowing for the rapid discovery of highly potent candidate molecules.",Amgen Ventures;Lightstone Ventures;Limulus Venture Partners;Massachusetts Life Sciences Center;Morgenthaler Ventures;New Enterprise Associates;Novartis Venture Funds;Novo Ventures;Public;RA Capital Management;Rock Springs Capital,77.56,Healthcare,Drug Development,,United States,Massachusetts,Cambridge,617-401-4060,info@rapharma.com,Yes,IPO,2016/10/26,Series B,2015/07/23,58.5,Series B,Limulus Venture Partners;Novo Ventures;Novartis Venture Funds;Lightstone Ventures;Amgen Ventures;New Enterprise Associates;Rock Springs Capital;RA Capital Management;Morgenthaler Ventures,279.35,279.35,56.663286,56.663286,North America,,Smart Money VCs;Pharma Startups;Rare Diseases,,,,,,,
Radius Health,http://www.radiuspharm.com,"Radius Health is a biopharmaceutical company focused on developing new therapeutics for the treatment of osteoporosis and other women's health conditions. Radius is committed to the development of advanced therapeutics for the large and underserved osteoporosis market. The company's lead product candidate, BA058-SC, is in development to reduce the risk of complications associated with osteoporosis, such as fracture. The company also has a next-generation transdermal patch, BA058-TD, being developed as a short wear-time delivery vehicle intended to improve patient compliance with convenience and ease of use, as well as a product in development to treat symptoms associated with menopause.",Bain Capital Public Equity;BB Biotech Ventures;Bellevue Asset Management;F2 Biosciences;GE Capital;GE Healthcare;Healthcare Private Equity;HealthCare Ventures;InterWest Partners;Ipsen;MPM Acquisition Corp;MPM Capital;Nordic Bioscience;Oxford Bioscience Partners;Oxford Finance;Public;Saints Capital;Scottish Widows Investment Partnership;Welcome Trust;Wellcome Trust,224.5,Healthcare,Drug Development,,United States,Massachusetts,Waltham,617-551-4000,info@radiuspharm.com,Yes,IPO,2014/06/06,Series B - II,2013/04/25,43,Series B,MPM Capital;BB Biotech Ventures;Bain Capital Public Equity;F2 Biosciences,231.51,231.51,,,North America,,Womens Health Startups;Pharma Startups,,291,5,2.2,44.00%,,@Radius_Health
Rambus,http://www.rambus.com,"Rambus creates cutting-edge semiconductor and IP products, spanning memory and interfaces to security, smart sensors and lighting. The Company's chips, customizable IP cores, architecture licenses, tools, services, training and innovations improve the competitive advantage of their customers. Rambus collaborates with the industry, partnering with leading ASIC and SoC designers, foundries, IP developers, EDA companies and validation labs. The Company's products are integrated into tens of billions of devices and systems, powering and securing diverse applications, including Big Data, Internet of Things (IoT), mobile, consumer and media platforms.",Benchmark;Integral Capital Partners;Kleiner Perkins Caufield & Byers;Public;Undisclosed Venture Investors,8,Electronics,Chips & Semiconductors,Semiconductors,United States,California,Sunnyvale,408-462-8000,,Yes,IPO,1997/05/06,Series B,1995/01/01,8,Series B,Undisclosed Venture Investors,257.44,257.44,,,North America,,RSA Exhibitors 2016;Mobile World Congress 2016;Smart Money VCs;Money 20/20 Vegas,,1837,0.17,1,2700.00%,100.00%,@rambusinc
Ramtron International,http://www.ramtron.com,"Ramtron International is a Electronics/Chips & Semiconductors company based in Colorado Springs, Colorado. Ramtron International's investors include Deere Park Capital Management, Kayne Anderson Capital Advisors, Castle Creek Capital, Pacific Assets Management, ProFutures, JMG Capital Management, Ashford Capital Management and Keyway Investments LTD..",Ashford Capital Management;Brant Investments Ltd;Castle Creek Capital;Cavallo Capital;Clarion Capital Partners;Deere Park Capital Management;Graham Investment Advisors;Hollis Capital Management;Infineon Ventures;JMG Capital Management;Jupiter Partners LP;Kayne Anderson Energy Funds;Keyway Investments LTD.;Pacific Assets Management;Palladin Group;ProFutures;Public;Tera Capital,30.82,Electronics,Chips & Semiconductors,,United States,Colorado,Colorado Springs,719-481-7000,,Yes,IPO,2005/10/19,Unattributed VC - III,2002/03/22,8,Venture Capital,Palladin Group;Infineon Ventures;Cavallo Capital,,,,,North America,,,,,,,,,
Rapid7,http://www.rapid7.com,"Rapid7 security analytics software and services reduce threat exposure and detect compromise for 3,000 organizations across 78 countries, including over 250 of the Fortune 1000. We understand the attacker better than anyone and build that insight into our solutions to improve risk management and stop threats faster. We offer advanced capabilities for vulnerability management, penetration testing, controls assessment, incident detection and investigation across your assets and users for virtual, mobile, private and public cloud networks.",Bain Capital Ventures;Public;Technology Crossover Ventures,89,Internet,Internet Software & Services,Monitoring & Security,United States,Massachusetts,Boston,617-247-1717,,Yes,IPO,2015/07/17,Series D,2014/12/17,30,Series D,Bain Capital Ventures;Technology Crossover Ventures,604.55,604.55,25.64913025,25.64913025,North America,,big data;cybersecurity;RSA Exhibitors 2016;Regtech,,67604,1.64,27.14,-19.00%,-7.00%,@rapid7
Razer,http://www.razer.com,"Razer (雷蛇) is a computer peripherals manufacturer and online retailer that specializes in connected devices and software products specifically marketed to gamers. The company offers gaming systems; desktop Webcams for streaming content production; peripherals, such as mice, keyboards and keypads, audio systems, controllers, licensed and team peripherals, and mouse mats; wearables; software solutions; gear, including T-shirts, jackets, hoodies, caps, and accessories, and bags and cases; and system & cord management accessories and replacement parts.",Hangzhou Liaison Interactive;Horizons Ventures;IDG-Accel Capital;Intel Capital;Public,175,Consumer Products & Services,Consumer Electronics,,United States,California,San Francisco,760-579-0180,cult@razer.com,Yes,IPO,2017/10/30,Series D,2017/05/15,50,Series D,Horizons Ventures,2000,2000,8,8,North America,,Internet of Things ( IoT );Wearable Computing;CES 2016;CES 2017 Exhibitors;Tech IPO Pipeline 2017;Consumer Hardware;Chinese Investment in US Tech;Esports;CES 2018 Exhibitors;Gaming (Public),1000,2815803,14.66,4420.41,50.00%,21.00%,@Razer
RealPage,http://www.realpage.com,"RealPage is a provider of comprehensive property management software solutions for the multifamily, commercial, single-family and vacation rental housing industries. These solutions help property owners increase efficiency, decrease expenses, enhance the resident experience and generate more revenue. Using its SaaS platform, RealPage's on-demand software enables easy system integration and streamlines online property management. Its product line covers the full spectrum of property management, leasing and marketing, asset optimization, and resident services solutions. Founded in 1998 and headquartered in Carrollton, Texas, RealPage currently serves over 10,000 clients worldwide from offices in North America, Europe and Asia.",Advance Capital Management;Apax Partners;Battery Ventures;Camden Partners;Leeds Equity Partners;Public,33.6,Software (non-internet/mobile),Collaboration & Project Management Software,,United States,Texas,Carrollton,877-325-7243,,Yes,IPO,2010/08/18,Growth Equity,2010/03/09,,Growth Equity,Battery Ventures,685.4,685.4,,,North America,,Real Estate Tech;Smart Money VCs,,5615,0.43,6.88,8.00%,-28.00%,@RealPage
Realnetworks,http://www.real.com,"RealNetworks is a provider of branded software products and services that enable the delivery of streaming media content over the Internet and intranets. The Company's products and services include its RealSystem, a streaming media solution that includes RealAudio and RealVideo technology, an electronic commerce Web site designed to promote the proliferation of streaming media products and a network of advertising-supported content aggregation Web sites.    In November 1997, Real Networks went public with a valuation of $346.1 million.",Public;Technology Crossover Ventures;Undisclosed Venture Investors,55.5,Internet,Internet Software & Services,Multimedia & Graphics,United States,Washington,Seattle,,,Yes,IPO,1997/11/19,Series C,1997/07/01,30,Series C,Undisclosed Venture Investors,346.1,346.1,,,North America,,Mobile World Congress 2016,,,,,,,
Reata Pharmaceuticals,http://www.reatapharma.com,"Reata Pharmaceuticals is aiming to build an integrated pharmaceutical company delivering medicines for deadly and difficult-to-treat diseases. Founded with an understanding of the significant technical risk in developing medicines, the business model was built around small cross functional teams, rapid evaluation of projects for biological activity and clinical viability, quick decision making, and intense analysis of scientific data to determine the direction of individual programs.  In addition to internal discovery, we have in-licensed a number of novel potential products from premier academic institutions.  We continue this operating model today and are committed to both developing and in-licensing novel technologies to keep our pipeline strong.",Cardinal Investment Company;CPMG;Novo Holdings;Novo Nordisk;Novo Ventures;Ojai Goliad;Public;Qualifying Therapeutic Discovery Project;Small Business Innovation Research Awards;STARTech Early Ventures;U.S. Department of Health and Human Services,463.12,Healthcare,Pharmaceuticals / Drugs,,United States,Texas,Irving,972-865-2219,info@reatapharma.com,Yes,IPO,2016/05/26,Growth Equity,2011/07/13,300,Growth Equity,Cardinal Investment Company;Novo Ventures;CPMG,75,75,6.028938907,6.028938907,North America,,BIO 2016;Pharma Startups;Rare Diseases,,,,,,,
Redfin,http://www.redfin.com,"Redfin (NASDAQ: RDFN) is a technology-powered residential real estate brokerage that represents people buying and selling homes in over 80 markets throughout the United States. The company meets customers through its listings-search website and mobile application, reducing the marketing costs that can keep fees high. Redfin lets homebuyers schedule home tours with a few taps of a mobile-phone button, and provides an immersive online experience for every Redfin-listed home and then promotes that listing to more buyers than any traditional brokerage can reach through its own website. The platform uses machine learning to recommend better listings than any customer could find on their own.",Annox Capital;BEV Capital;Brothers Brook;Globespan Capital Partners;Glynn Capital Management;Gotham Ventures;Greylock Partners;Madrona Venture Group;North Sky Capital;Public;T. Rowe Price;The Hillman Company;Threshold Ventures;Tiger Global Management;Vulcan Capital;Wellington Management,166.95,Internet,Internet Software & Services,Real Estate,United States,Washington,Seattle,206-576-8333,,Yes,IPO,2017/07/28,Series G,2014/12/18,70.9,Series G,Brothers Brook;Glynn Capital Management;Wellington Management;Tiger Global Management;Annox Capital;T. Rowe Price,1193.05,1193.05,23.861,23.861,North America,,Real Estate Tech;Smart Money VCs;Disrupting Real Estate;Tech IPO Pipeline 2017,900,43321,1.91,19,-16.00%,37.00%,@Redfin
Regado Biosciences,http://www.regadobio.com,"Regado Biosciences, a biopharmaceutical company, engages in the discovery and development of aptamer-based antidote-controlled therapeutics. The Company provides REG1 that is used in patients suffering from acute coronary syndrome that undergo coronary revascularization procedures, which include coronary artery bypass grafting and percutaneous coronary intervention.",Andera Partners;Aurora Capital Group;Aurora Funds;Baxter Ventures;Caxton Advantage Life Sciences Fund;Caxton Associates;Domain Associates;LCF Rothschild Group;Public;Quaker BioVentures;Qualifying Therapeutic Discovery Project;Rusnano,173.63,Healthcare,Biotechnology,,United States,New Jersey,Basking Ridge,908-580-2100,,Yes,IPO,2013/08/22,Series E,2012/12/19,51,Series E,Domain Associates;Caxton Advantage Life Sciences Fund;Aurora Funds;Rusnano;Quaker BioVentures;Baxter Ventures;Andera Partners,90.15,90.15,10.14060742,10.14060742,North America,,Pharma Startups,,,,,,,
RegenxBio,http://www.regenxbio.com,"RegenxBio is focused on the effort to translate the latest gene delivery research into therapeutic applications for diseases where there is serious unmet need. The company is developing novel therapeutics and research tools based on rAAV (recombinant adeno-associated) vectors. ReGenX's NAV Technology offers a platform for safer, highly efficient and specific expression of biologics with therapeutic effect.",Bain Capital Public Equity;Cormorant Asset Management;Deerfield Management;F-Prime Capital;Foresite Capital;FoxKiser;Janus Capital Group;Jennison Associates;National Institutes of Health;Perceptive Advisors;Public;QVT Financial;RTW Investments;Sectoral Asset Management;Seventh Framework Programme;Tourbillon Global Ventures;Undisclosed Investors;Venrock;Vivo Capital,111.19,Healthcare,Biotechnology,,United States,Maryland,Rockville,240-552-8181,,Yes,IPO,2015/09/17,Series D,2015/05/20,70.5,Series D,Venrock;RTW Investments;Foresite Capital;QVT Financial;Deerfield Management;Vivo Capital;Tourbillon Global Ventures;Jennison Associates;Sectoral Asset Management;F-Prime Capital;Cormorant Asset Management;Perceptive Advisors;Bain Capital Public Equity;Janus Capital Group,541.33,541.33,270.665,270.665,North America,,BIO 2016;Pharma Startups;Eye Health;Rare Diseases,,57,0,1.46,,,@REGENXBIO
Rennova Health,http://www.rennovahealth.com,"Rennova Health (NASDAQ:RNVA) (NASDAQ:RNVAZ), formerly CollabRx, is a vertically integrated provider of diagnostics and supportive software solutions to healthcare providers.",Tegal;Undisclosed Venture Investors,1.56,Healthcare,Medical Information,,United States,Florida,West Palm Beach,844-736-6682,info@rennovahealth.com,Yes,Reverse Merger,2012/07/06,Series A,2011/04/14,1.56,Series A,Undisclosed Venture Investors,5.022575,5.022575,,,North America,,,,355,0.02,0.49,-80.00%,0.00%,@collabrx
Replidyne,http://www.replidyne.com,Replidyne is a drug discovery and development firm focused on a new class of antibiotics,Aisling Capital;Cardiovascular Systems;Duquesne;Healthcare Investment Partners;HealthCare Ventures;Johnson & Johnson;Lumira Ventures;Morgenthaler Ventures;Och-Ziff Capital Management Group;Perseus;Quintiles Transnational;Sequel Venture Partners;Temasek Holdings;TPG Growth,121.5,Healthcare,Drug Discovery,,United States,Colorado,Louisville,303-996-5500,,Yes,Reverse Merger,2009/02/25,Unattributed VC - IV,2005/08/05,62.5,Venture Capital,Morgenthaler Ventures;Perseus;Quintiles Transnational;Sequel Venture Partners;HealthCare Ventures;Duquesne;Och-Ziff Capital Management Group;Temasek Holdings;Aisling Capital;Healthcare Investment Partners;TPG Growth;Lumira Ventures,,,,,North America,,Pharma Startups,,,,,,,
Replimune,http://www.replimune.com,"Replimune is developing novel, proprietary oncolytic immunotherapies intended to improve both the direct anti-tumor effects of selective virus replication and the potency of the immune response to the tumor antigens released. Replimune intends to progress these rapidly through clinical trials and to combine these with checkpoint blockade at an early stage of clinical development.",Atlas Venture;Bain Capital;Cormorant Asset Management;Forbion Capital Partners;Foresite Capital;Leerink Partners;Omega Fund Management;Public;Redmile Group,85,Healthcare,Biotechnology,,United States,Massachusetts,Woburn,,info@replimune.com,Yes,IPO,2018/07/20,Series B,2017/09/08,55,Series B,Omega Fund Management;Leerink Partners;Atlas Venture;Cormorant Asset Management;Bain Capital;Forbion Capital Partners;Foresite Capital;Redmile Group,462.6,462.6,,,North America,,Pharma Startups;Cancer Therapeutics,,18,0,18,400.00%,,@ReplimuneLtd
Restoration Hardware,http://www.restorationhardware.com,"Restoration Hardware is a luxury brand in the home furnishings marketplace.    In November 2012, Restoration Hardware went public with a valuation of $887 million.",Glenhill Advisors;L Catterton;Palo Alto Investors;Public;Reservoir Capital Group;Undisclosed Venture Investors,12.2,Retail (non-internet/mobile),Home Furnishings & Improvement,,United States,California,Corte Madera,415-924-1005,,Yes,IPO - II,2012/11/02,Series B - II,1996/10/01,6,Series B,Undisclosed Venture Investors,887.31,887.31,0.739425,0.739425,North America,,,,11521,27,174.56,29.00%,-96.00%,@RestoHardware
Retrophin,http://www.retrophin.com,"Retrophin is a biopharmaceutical company focused on discovering, developing and marketing innovative therapies for debilitating and often life-threatening diseases. The company is dedicated to working in areas in which the biopharmaceutical industry has, to date, had limited interest or effectiveness. Retrophin maintains a focus on patients, working with doctors and patient advocacy groups and seeking to understand their distinct needs.",MSMB Capital;Public,4,Healthcare,Biotechnology,,United States,New York,New York,212-983-1310,martin@retrophin.com,Yes,IPO,2014/01/10,Series A,2012/05/07,4,Series A,MSMB Capital,196.19,196.19,,,North America,,BIO 2016,,420,13,5.53,25.00%,1200.00%,@Retrophin
Revance Therapeutics,http://www.revance.com,"Revance Therapeutics is a privately held specialty biopharmaceutical company which develops next generation products in dermatology and therapeutic medicine. Revance has developed a platform technology, TransMTS that enables local, targeted delivery of botulinum toxin and other potent macromolecules across skin without patches, needles or other invasive procedures.",Biotechnology Development Fund;CNF Investments;Delphi Ventures;EDBI;Essex Capital Corporation;Essex Woodlands;Horizon Technology Finance Management;Leader Ventures;Medicis Pharmaceutical;NovaQuest Capital Management;Pac-Link Ventures;Palo Alto Investors;Public;Shepherd Ventures;Technology Partners;Vivo Capital,189.8,Healthcare,Drug Delivery,,United States,California,Newark,510-742-3400,,Yes,IPO,2014/02/06,Convertible Note,2013/10/23,10,Convertible Note,NovaQuest Capital Management;Technology Partners;Vivo Capital;Essex Woodlands,283.91,283.91,946.3666667,946.3666667,North America,,,,,,,,,
Rhythm Pharmaceuticals,http://www.rhythmtx.com,"Rhythm Pharmaceuticals is a biotechnology company developing peptide therapeutics that address unmet needs in metabolic diseases. Rhythm is developing the ghrelin peptide agonist, RM-131, for the treatment of diabetic gastroparesis and other GI functional disorders; and the MC4R peptide agonist, RM-493, for obesity and diabetes.",Deerfield Management;Ipsen;MPM Capital;New Enterprise Associates;OrbiMed Advisors;Pfizer Venture Investments;Public;The Michael J. Fox Foundation;Third Rock Ventures,126.35,Healthcare,Biotechnology,,United States,Massachusetts,Boston,857-264-4280,info@rhythmtx.com,Yes,IPO,2017/10/05,Mezzanine,2017/02/16,41,Mezzanine,New Enterprise Associates;Deerfield Management;MPM Capital;Third Rock Ventures;OrbiMed Advisors;Ipsen;Pfizer Venture Investments,436.73,436.73,,,North America,,Smart Money VCs;Pharma Startups;Rare Diseases,,,,,,,
Ribbon Communications,http://www.ribboncommunications.com,"Sonus Networks, dba Ribbon Communications since its merger with Genbrand, secures real-time communications so service providers and enterprises can embrace SIP and 4G/LTE solutions including VoIP, video, instant messaging and online collaboration. The company offers a portfolio of hardware-based and virtualized Session Border Controllers (SBCs), Diameter Signaling Controllers (DSCs), policy/routing servers and media and signaling gateways.",Access Technology Partners;Bedrock Capital Management;Bessemer Venture Partners;Broadband Office;Castile Ventures;CRV;Global Crossing Ventures;Matrix Partners;Mitsubishi Electric Corporation;Nissho Electronics;North Bridge Venture Partners;Public;Tekla Capital Management;Thomas Weisel Partners;Trinsic;TW Telecom;Undisclosed Investors;Viatel;Whitman Capital;WilTel Communications Group,70.71,Mobile & Telecommunications,Telecom Devices & Equipment,,United States,Massachusetts,Westford,978-614-8100,sales@sonusnet.com,Yes,IPO,2000/05/05,Unattributed VC - III,2000/03/09,24.75,Venture Capital,Tekla Capital Management;Viatel;Global Crossing Ventures;Access Technology Partners;Trinsic;Broadband Office;WilTel Communications Group;Thomas Weisel Partners;TW Telecom;Whitman Capital,1389.68,1389.68,,,North America,,Mobile World Congress 2016;Smart Money VCs,,,,,,,
RigNet,http://www.rig.net,"Rignet aims to provide broadband, plug-and-play data, voice and video networks to offshore rigs and remote locations. The company supplies and permanently installs all hardware and software and the customer's choice of related network services to allow a pure plug and play system once a rig arrives on site.",Altira Group;HitecVision;Millennium Technology Value Partners;Public;Sanders Morris Harris Private Equity;Undisclosed Venture Investors,8.5,Mobile & Telecommunications,Telecom Services,Diversified & Bundled,United States,Texas,Houston,281-674-0100,,Yes,IPO,2010/12/17,Series C,2005/06/06,6,Series C,Altira Group;Sanders Morris Harris Private Equity;HitecVision,6.804697,6.804697,,,North America,,Oil & Gas Tech,,643,3,80.38,-67.00%,,@RigNet
Rigel Pharmaceuticals,http://www.rigel.com,"Rigel Pharmaceuticals discovers and develops drugs for the treatment of inflammatory/autoimmune diseases and cancer, as well as viral and metabolic diseases. Their research focuses on intracellular signaling pathways and related targets that are critical to disease mechanisms. Programs include rheumatoid arthritis, immune thrombocytopenia purpura and asthma.",Alta Partners;Frazier Healthcare Partners;Grifols;HBM Healthcare Investments;HBM Partners;Johnson & Johnson;LODH Private Equity Partners;Merlin Nexus;MPM Capital;New Enterprise Associates;Presidio Partners;Public;Undisclosed Investors;Undisclosed Venture Investors,83.99,Healthcare,Pharmaceuticals / Drugs,,United States,California,South San Francisco,650-624-1100,producthelp@rigel.com,Yes,IPO,2003/07/07,Unattributed VC - III,2003/06/05,46,Venture Capital,Alta Partners;MPM Capital;HBM Partners;Frazier Healthcare Partners;HBM Healthcare Investments,,,,,North America,,BIO 2016;Smart Money VCs;Pharma Startups;Cancer Therapeutics;Rare Diseases,,,,,,,
RingCentral,http://www.ringcentral.com,"RingCentral, Inc. offers a service to businesses that aims to allow them to manage all their phone, mobile, fax and email communications with a single phone number and an easy-to-use online control center. The RingCentral service combines a toll-free or local number with advanced call management, PBX, voicemail and Internet fax, enabling customers to set up multiple extensions with voicemail, automatically screen, forward and place calls, take voicemail, send and receive faxes, and receive message alerts.",Cisco Investments;DAG Ventures;Khosla Ventures;Public;RTP Ventures;Scale Venture Partners;Sequoia Capital;Silicon Valley Bank,44.9,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,United States,California,Belmont,650-472-4100,emilyc@ringcentral.com,Yes,IPO,2013/09/27,Series D,2011/09/08,10,Series D,Sequoia Capital;Cisco Investments;Scale Venture Partners;Khosla Ventures;DAG Ventures,34.633518,34.633518,,,North America,,Mobile World Congress 2016;Smart Money VCs;Enterprise SaaS,,43614,0.27,2.13,873.00%,-56.00%,@RingCentral
Ritter Pharmaceuticals,http://www.ritterpharmaceuticals.com,Ritter Pharmaceuticals is a specialty pharmaceutical company developing therapeutics based upon colonic adaptation to treat gastrointestinal diseases with an initial focus on lactose intolerance. Colonic adaptation improves colon function by selectively increasing the growth of beneficial bacteria in the colonic ecosystem (digestive tract).,Javelin Venture Partners;Public;Qualifying Therapeutic Discovery Project;Steve Markowitz;Stonehenge Capital,13.51,Healthcare,Pharmaceuticals / Drugs,,United States,California,Los Angeles,310-203-1000,,Yes,IPO,2015/06/25,Series A - II,2014/12/16,3.69,Series A,Javelin Venture Partners,38.94,38.94,,,North America,,Pharma Startups;Microbiome,,,,,,,
RoBo 3D Printer,http://www.robo3d.com,"The Robo 3D Printer is a low-cost, open source, easy to use 3D printer built for consumers. The company sells its products through major retailers, including Amazon and Best Buy-the largest electronics retailer in North America.",Falcon Minerals;Forrest Capital;GTT Ventures;Kickstarter,4.25,Consumer Products & Services,Consumer Electronics,,United States,California,San Diego,,,Yes,Reverse Merger,2016/09/09,Series A,2015/12/15,3.6,Series A,Forrest Capital;GTT Ventures,11.873018,11.873018,5.162181739,5.162181739,North America,,3D Printing;CES 2016;CES 2017 Exhibitors;Consumer Hardware,,,,,,,
Roka Bioscience,http://www.rokabio.com,"Roka Bioscience is dedicated to developing rapid, highly accurate molecular assays and instrument systems for the Food Safety Industry. The Atlas System represents a new tier of molecular rapid pathogen testing, offering automation and technology that bring true walk-away convenience and workflow advantages to the laboratory. Roka is focused on creating novel testing solutions that help manufacturers mitigate risks, protect their brands, and meet the increasing testing demands now and for years to come.",Aisling Capital;Gen-Probe;New Enterprise Associates;OrbiMed Advisors;Public;TPG Biotech,138.93,Food & Beverages,Food safety & preservation,,United States,New Jersey,Warren,908-605-4700,,Yes,IPO,2014/07/17,Series E - II,2013/12/05,17,Series E,TPG Biotech;New Enterprise Associates;OrbiMed Advisors;Aisling Capital,211.57,211.57,258.0121951,258.0121951,North America,,Medical Devices;Smart Money VCs,,586,0.07,1.17,-57.00%,-50.00%,@RokaBioscience
Roku,http://www.roku.com,Roku manufactures a variety of streaming players that allow customers to access Internet streamed video or audio services through televisions.,DISH Network;Fidelity Investments;Globespan Capital Partners;Hearst Ventures;Luminari Capital;Menlo Ventures;Netflix;News Corp;Public;Sky;Venrock;Viacom,199.5,Consumer Products & Services,Consumer Electronics,,United States,California,Los Gatos,408-556-9391,hr@roku.com,Yes,IPO,2017/09/28,Series G,2016/01/29,45.5,Series G,Menlo Ventures;Viacom;Hearst Ventures;Luminari Capital,1107.12,1107.12,2.7678,2.7678,North America,,Collision Conference 4.26.2016 ;Tech IPO Pipeline 2017;Consumer Hardware,950,98738,4.3,14.62,-53.00%,-22.00%,@RokuPlayer
Rubicon Project,http://www.rubiconproject.com,"Based in Los Angeles, the Rubicon Project is an online advertising solution that aims to solve the challenge that website publishers face in monetizing ad space that goes unsold (as much as 70 - 80 percent) across a fast-growing number of global ad networks.  Per the company, the Rubicon Project developed a the category of Ad Network Optimization (ANO) and  developed its patent-pending Smart Matching technology, which aims to use billions of pieces of proprietary market data to match each publisher ad impression to the best money-making opportunities from ad networks.",Clearstone Venture Partners;Coffin Capital & Ventures;IDG Ventures Vietnam;Jarl Mohn;Mayfield Fund;NBC Universal;News Corp;Peacock Equity Fund;Public;Ridge Ventures;Silicon Valley Bank;Square 1 Bank;Stanford University;University of California Berkeley,48,Internet,Internet Software & Services,Advertising Network or Exchange,United States,California,Los Angeles,310-207-0272,nicole@rubiconproject.com,Yes,IPO,2014/04/02,Series D,2010/11/02,18,Series D,Mayfield Fund;Ridge Ventures;Peacock Equity Fund;Jarl Mohn;Clearstone Venture Partners;News Corp,520.85,520.85,6.21316951,6.21316951,North America,,ad tech;Mobile World Congress 2016;Collision Conference 4.26.2016 ;CES 2017 Exhibitors;CES 2018 Exhibitors;Enterprise SaaS,,43008,0.28,18.16,123.00%,-61.00%,@RubiconProject
